add_soliton,num_solitons,base_soliton_angle,angle_jitter_deg,shot_photons,read_noise_std,gaussian_sigma,pixel_size,propagation_distance,phase_scale,blend,base_gain_low,base_gain_high,overexposure_prob,overexposure_gain_low,overexposure_gain_high,shift_i,shift_j,shift_prob,soliton_depth,soliton_width_px,fringe_gain,fringe_period_px,fringe_decay_px,fringe_phase,side_antisym,side_antisym_scale_px,diagonal_antisym,diagonal_antisym_scale_px,diagonal_angle_rad,y_fade_px,y_fade_power,disc_real_prob
False,0,0.0,0.9419416189193726,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.002986752428114414,0.8999624848365784,0.8999618887901306,1.1193976402282715,1.1194343566894531,0.9996030926704407,1.1200000047683716,1.4199999570846558,-0.6502197980880737,-0.6387859582901001,1.7914570094035298e-07,0.8200194835662842,1.4001250267028809,0.8000449538230896,11.000161170959473,5.241110324859619,0.015076756477355957,0.8424074649810791,9.0,-0.39918622374534607,15.0,0.0,25.00092315673828,1.899999976158142,0.8848174214363098
False,0,0.0,0.9819220304489136,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029965047724545,0.899997353553772,0.8999980688095093,1.1198958158493042,1.11992609500885,0.9999619722366333,1.1200000047683716,1.4199999570846558,-0.774858832359314,-0.8448107242584229,2.4293898004401626e-09,0.8200012445449829,1.4000059366226196,0.800003170967102,11.000011444091797,5.077877998352051,0.017379987984895706,0.8482660055160522,9.0,-0.39991021156311035,15.0,0.0,25.00005340576172,1.899999976158142,0.8818115592002869
False,0,0.0,0.9294848442077637,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.002984566381201148,0.8999402523040771,0.8999414443969727,1.119056224822998,1.1192128658294678,0.9995064735412598,1.1200000047683716,1.4199999570846558,-0.5731083154678345,-0.6130591630935669,3.484707917777996e-07,0.8200224041938782,1.4001524448394775,0.8000625371932983,11.000277519226074,5.225308895111084,0.01515846699476242,0.841081976890564,9.0,-0.3988511562347412,15.0,0.0,25.000995635986328,1.899999976158142,0.8803884387016296
False,0,0.0,0.9663398265838623,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.002985040657222271,0.8999645709991455,0.8999724984169006,1.1192972660064697,1.1195368766784668,0.9996829032897949,1.1200000047683716,1.4199999570846558,-0.5972925424575806,-0.7701741456985474,1.479782127944418e-07,0.8200177550315857,1.4000824689865112,0.8000431060791016,11.00013542175293,5.260674953460693,0.015138037502765656,0.8416087627410889,9.0,-0.3992469906806946,15.0,0.0,25.000755310058594,1.899999976158142,0.8788387179374695
False,0,0.0,0.9406182765960693,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.002981083234772086,0.8999394774436951,0.8999456167221069,1.1191520690917969,1.1192166805267334,0.9994283318519592,1.1200000047683716,1.4199999570846558,-0.5052392482757568,-0.635762095451355,3.1865545224718517e-07,0.8200236558914185,1.4001693725585938,0.8000580072402954,11.000276565551758,5.280778408050537,0.014964081346988678,0.839209794998169,9.0,-0.39892488718032837,15.0,0.0,25.00131607055664,1.899999976158142,0.8742809891700745
False,0,0.0,0.9621723890304565,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.002983110025525093,0.899978756904602,0.8999811410903931,1.1195307970046997,1.1195745468139648,0.9997077584266663,1.1200000047683716,1.4199999570846558,-0.6727298498153687,-0.8514258861541748,8.097219250657872e-08,0.8200100064277649,1.4000575542449951,0.8000341653823853,11.000110626220703,5.185858726501465,0.016793858259916306,0.8417072296142578,9.0,-0.3993564546108246,15.0,0.0,25.00050926208496,1.899999976158142,0.8725492358207703
False,0,0.0,0.9435111284255981,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029840213246643543,0.8999634981155396,0.8999592661857605,1.1194297075271606,1.119394302368164,0.9995495676994324,1.1200000047683716,1.4199999570846558,-0.6371641159057617,-0.7668502330780029,2.1595806742880086e-07,0.8200207352638245,1.4001237154006958,0.8000441789627075,11.00015926361084,5.316040515899658,0.015514593571424484,0.8410849571228027,9.0,-0.3991086184978485,15.0,0.0,25.000741958618164,1.899999976158142,0.8722265362739563
False,0,0.0,0.9824295043945312,8,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.002995237708091736,0.8999916315078735,0.899993360042572,1.1198012828826904,1.1198444366455078,0.9999284744262695,1.1200000047683716,1.4199999570846558,-0.8971033096313477,-0.7674988508224487,9.391467159503009e-09,0.8200024962425232,1.4000160694122314,0.800008237361908,11.000020027160645,5.117637634277344,0.01710038259625435,0.846839189529419,9.0,-0.3997904658317566,15.0,0.0,25.000150680541992,1.899999976158142,0.8708017468452454
False,0,0.0,0.9255560636520386,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029822210781276226,0.8999490737915039,0.899960458278656,1.1193028688430786,1.1193993091583252,0.9994076490402222,1.1200000047683716,1.4199999570846558,-0.47714316844940186,-0.8144937753677368,3.0219339919312915e-07,0.8200218677520752,1.4001253843307495,0.8000532388687134,11.000225067138672,5.312640190124512,0.01514715701341629,0.8403803110122681,9.0,-0.39896923303604126,15.0,0.0,25.00096321105957,1.899999976158142,0.8672040700912476
False,0,0.0,0.9534457921981812,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029878905043005943,0.8999711871147156,0.8999739289283752,1.1195085048675537,1.11953866481781,0.9997418522834778,1.1200000047683716,1.4199999570846558,-0.5474092960357666,-0.6981700658798218,1.1619930972983639e-07,0.8200129866600037,1.400072693824768,0.800030529499054,11.000089645385742,5.201144218444824,0.01524096354842186,0.8436998128890991,9.0,-0.39937061071395874,15.0,0.0,25.000614166259766,1.899999976158142,0.8661983609199524
